ID,USE,GROUP,NAME,DEVICE NO,ADDRESS,DATA TYPE,DIRECTION,ACCESS,SCALE,LENGTH,POLL_MS,DESCRIPTION
FUNCTION_PAUSE_POSSIBLE_READ,1,FUNCTION,PAUSE Possible Read,0,W23458.0,BIT,IN,R,1,1,100,250703 function read
FUNCTION_PAUSE_ACK_READ,1,FUNCTION,PAUSE ACK Read,0,W23458.1,BIT,IN,R,1,1,100,250703 function read
FUNCTION_PAUSE_ACK_WRITE,1,FUNCTION,PAUSE ACK Write,0,W33458.1,BIT,OUT,W,1,1,0,250703 function write
FUNCTION_PM_POSSIBLE_READ,1,FUNCTION,PM Possible Read,0,W23459.0,BIT,IN,R,1,1,100,250703 function read
FUNCTION_NORMAL_POSSIBLE_READ,1,FUNCTION,NORMAL Possible Read,0,W2345A.0,BIT,IN,R,1,1,100,250703 function read
FUNCTION_RESUME_POSSIBLE_READ,1,FUNCTION,RESUME Possible Read,0,W2345B.0,BIT,IN,R,1,1,100,250703 function read
FUNCTION_COMMUNICATION_CHECK_COMMCHECK_READ,1,FUNCTION,Communication Check Read,0,W23660,WORD,IN,R,1,1,100,250703 communication check read
FUNCTION_COMMUNICATION_CHECK_COMMCHECK_WRITE,1,FUNCTION,Communication Check Write,0,W33660,WORD,OUT,W,1,1,0,250703 communication check write
FUNCTION_RECIPE_SET_POSSIBLE_READ,1,FUNCTION,Recipe Set Possible Read,0,W283BB.0,BIT,IN,R,1,1,100,250703 function read
MNT_LD01_EQUIPMENT_STATUS_LD,1,MNT,LD01 Equipment Status,0,W29000,DWORD,IN,R,1,2,500,MNT equipment status
MNT_LD01_PROCESS_STATUS_LD,1,MNT,LD01 Process Status,0,W29002,DWORD,IN,R,1,2,500,MNT process status
MNT_LD01_CHAMBER_STATUS_LD,1,MNT,LD01 Chamber Status,0,W29004,DWORD,IN,R,1,2,500,MNT chamber status
MNT_LD01_CURRENT_STEP,1,MNT,LD01 Current Step,0,W2900A,DWORD,IN,R,1,2,500,MNT current step
MNT_LD01_AUTO_MODE_CHNG_STATUS,1,MNT,LD01 Auto Mode Change Status,0,W29016,DWORD,IN,R,1,2,500,MNT auto mode status
MNT_LD01_ALARM_WARNING_STATUS,1,MNT,LD01 Alarm Warning Status,0,W29018,DWORD,IN,R,1,2,500,MNT alarm warning status
MNT_LD01_PPID,1,MNT,LD01 PPID,0,W290D3,STRING,IN,R,1,10,0,MNT PPID ASCII 20
SV_LD01_LD_CH_STATUS,1,SV,LD01 LD Channel Status,0,W23864,DWORD,IN,R,1,2,500,SV channel status
SV_LD01_LD_CURRENT_STEP,1,SV,LD01 Current Step,0,W23868,DWORD,IN,R,1,2,500,SV current step
SV_LD01_AUTO_MODE_CHNG_STATUS,1,SV,LD01 Auto Mode Change Status,0,W2386E,DWORD,IN,R,1,2,500,SV auto mode status
SV_LD01_ALARM_STATUS,1,SV,LD01 Alarm Status,0,W23870,DWORD,IN,R,1,2,500,SV alarm status
SV_SDC_ALIVE_ON_DEVICE1,1,SV,SDC Alive On Device1,0,W23C80,DWORD,IN,R,1,2,0,SV SDC alive device1
SV_SDC_ALIVE_ON_DEVICE2,1,SV,SDC Alive On Device2,0,W23CBE,DWORD,IN,R,1,2,0,SV SDC alive device2
PPID_ONLINE_PPID_NAME_READ,1,PPID,Online PPID Name Read,0,W26286,STRING,IN,R,1,8,0,PPID online name read
PPID_ONLINE_PPID_NAME_WRITE,1,PPID,Online PPID Name Write,0,W36286,STRING,OUT,W,1,8,0,PPID online name write
PPID_STAGE_SPEED_READ,1,PPID,Stage Speed Read,0,W2628E,DWORD,IN,R,1,2,0,PPID stage speed read
PPID_STAGE_SPEED_WRITE,1,PPID,Stage Speed Write,0,W3628E,DWORD,OUT,W,1,2,0,PPID stage speed write
PPID_LASER_POWER_READ,1,PPID,Laser Power Read,0,W26290,DWORD,IN,R,1,2,0,PPID laser power read
PPID_LASER_POWER_WRITE,1,PPID,Laser Power Write,0,W36290,DWORD,OUT,W,1,2,0,PPID laser power write
PPID_LASER_FREQUENCY_READ,1,PPID,Laser Frequency Read,0,W26292,DWORD,IN,R,1,2,0,PPID laser frequency read
PPID_LASER_FREQUENCY_WRITE,1,PPID,Laser Frequency Write,0,W36292,DWORD,OUT,W,1,2,0,PPID laser frequency write
EC_SET_ALIGN_STAGE_X1_POS_READ,1,EC,Set Align Stage X1 Position Read,0,W249F0,DOUBLE,IN,R,0.0001,2,0,EC align stage X1 read
EC_SET_ALIGN_STAGE_X1_POS_WRITE,1,EC,Set Align Stage X1 Position Write,0,W349F0,DOUBLE,OUT,W,0.0001,2,0,EC align stage X1 write
EC_SET_ALIGN_STAGE_Y1_POS_READ,1,EC,Set Align Stage Y1 Position Read,0,W249F2,DOUBLE,IN,R,0.0001,2,0,EC align stage Y1 read
EC_SET_ALIGN_STAGE_Y1_POS_WRITE,1,EC,Set Align Stage Y1 Position Write,0,W349F2,DOUBLE,OUT,W,0.0001,2,0,EC align stage Y1 write
DC_TOP_POWERMETER_1_MEASURE_VALUE,1,DC,Top Powermeter 1 Measure Value,0,W25DEE,DOUBLE,IN,R,0.001,2,0,DC top powermeter 1
ALARM_F0000,1,ALARM,F0000 PLC Alarm,0,W271C2.0,BIT,IN,R,1,1,0,Alarm F0000
WARNING_F2000,1,WARNING,F2000 PLC Battery Low Warning,0,W27320.0,BIT,IN,R,1,1,0,Warning F2000
