구분	프로젝트	파일	라인	멤버	호출_문맥	캡처_변수	실행_스레드	호출_시점	예외_전달	위험도	변경_방법
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	71	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	status.Motors.Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	94	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	candidates              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	97	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	_activeSince.Keys.Where	activeCodes	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	103	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	candidates              .Select	this,now	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	104	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	candidates              .Select(alarm => ToAlarmData(alarm, now))              .OrderByDescending	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	105	Drilling.Common.Alarm.CAlarmManager.Build(Drilling.Common.Managers.ST_DEVICE_STATUS, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	candidates              .Select(alarm => ToAlarmData(alarm, now))              .OrderByDescending(alarm => alarm.Severity)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Alarm/CAlarmManager.cs	113	Drilling.Common.Alarm.CAlarmManager.AddInterLockAlarms(System.Collections.Generic.ICollection<Drilling.Common.Alarm.CAlarmManager.ST_ALARM_CANDIDATE>, Drilling.Common.InterLock.ST_INTERLOCK_SUMMARY)	interLock.Items.Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	82	Drilling.Common.Interface.CAutomation1Comm.Execute(string, System.Threading.CancellationToken)	Task.Run	this,function,executeCancellationToken,controller	기존 작업/스레드/타이머 실행 스레드	기존 작업 예약 또는 타이머 발생 시점	기존 Task/스레드 경로 유지	높음	이름 있는 작업/스레드 콜백
SwitchExpression	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	323	Drilling.Common.Interface.CAutomation1Comm.ExecuteAutomation1Function(Aerotech.Automation1.DotNet.Controller, string, System.Threading.CancellationToken)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	348	Drilling.Common.Interface.CAutomation1Comm.ExecuteScriptFunction(Aerotech.Automation1.DotNet.Controller, string, System.Threading.CancellationToken)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	376	Drilling.Common.Interface.CAutomation1Comm.ExecuteTaskFunction(Aerotech.Automation1.DotNet.Controller, string)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	394	Drilling.Common.Interface.CAutomation1Comm.ExecuteTaskFunction(Aerotech.Automation1.DotNet.Controller, string)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	586	Drilling.Common.Interface.CAutomation1Comm.RunBufferedControllerFiles(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunRequest>, int, int, int, System.Threading.CancellationToken)	commandQueues.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	629	Drilling.Common.Interface.CAutomation1Comm.WaitForBufferedRunTasksComplete(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunQueue>, int, System.Threading.CancellationToken)	queueList                  .Select	controller	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
